frame_index,raw_image_timestamp,raw_image_name,gt_trajectory_index,gt_trajectory_timestamp,abs_time_gap_s
0,1710255656.947838783,cam0/1710255656.947838739.jpg,23,1710255656.947838783,0.000000000
1,1710255656.997838736,cam0/1710255656.997838739.jpg,25,1710255656.997838736,0.000000000
2,1710255657.047838688,cam0/1710255657.047838639.jpg,26,1710255657.047838688,0.000000000
3,1710255657.097838640,cam0/1710255657.097838539.jpg,27,1710255657.097838640,0.000000000
4,1710255657.147838593,cam0/1710255657.147838539.jpg,28,1710255657.147838593,0.000000000
5,1710255657.197838545,cam0/1710255657.197838539.jpg,30,1710255657.197838545,0.000000000
6,1710255657.247838497,cam0/1710255657.247838539.jpg,31,1710255657.247838497,0.000000000
7,1710255657.297838449,cam0/1710255657.297838439.jpg,33,1710255657.297838449,0.000000000
8,1710255657.397838354,cam0/1710255657.397838339.jpg,35,1710255657.397838354,0.000000000
9,1710255657.447838306,cam0/1710255657.447838339.jpg,36,1710255657.447838306,0.000000000
10,1710255657.497838259,cam0/1710255657.497838239.jpg,38,1710255657.497838259,0.000000000
11,1710255657.547838211,cam0/1710255657.547838239.jpg,39,1710255657.547838211,0.000000000
12,1710255657.597838163,cam0/1710255657.597838139.jpg,40,1710255657.597838163,0.000000000
13,1710255657.647838116,cam0/1710255657.647838139.jpg,41,1710255657.647838116,0.000000000
14,1710255657.697838068,cam0/1710255657.697838139.jpg,43,1710255657.697838068,0.000000000
15,1710255657.747838020,cam0/1710255657.747838139.jpg,44,1710255657.747838020,0.000000000
16,1710255657.797837973,cam0/1710255657.797838039.jpg,46,1710255657.797837973,0.000000000
17,1710255657.847837925,cam0/1710255657.847837939.jpg,47,1710255657.847837925,0.000000000
18,1710255657.897788763,cam0/1710255657.897788819.jpg,48,1710255657.897788763,0.000000000
19,1710255657.947788715,cam0/1710255657.947788719.jpg,49,1710255657.947788715,0.000000000
20,1710255657.997788668,cam0/1710255657.997788719.jpg,51,1710255657.997788668,0.000000000
21,1710255658.047788620,cam0/1710255658.047788619.jpg,52,1710255658.047788620,0.000000000
22,1710255658.097788572,cam0/1710255658.097788619.jpg,53,1710255658.097788572,0.000000000
23,1710255658.147788525,cam0/1710255658.147788519.jpg,54,1710255658.147788525,0.000000000
24,1710255658.197788715,cam0/1710255658.197788619.jpg,56,1710255658.197788715,0.000000000
25,1710255658.247788429,cam0/1710255658.247788519.jpg,57,1710255658.247788429,0.000000000
26,1710255658.297788620,cam0/1710255658.297788519.jpg,59,1710255658.297788620,0.000000000
27,1710255658.347788334,cam0/1710255658.347788419.jpg,60,1710255658.347788334,0.000000000
28,1710255658.397788525,cam0/1710255658.397788419.jpg,62,1710255658.397788525,0.000000000
29,1710255658.447788239,cam0/1710255658.447788319.jpg,63,1710255658.447788239,0.000000000
30,1710255658.497788191,cam0/1710255658.497788219.jpg,64,1710255658.497788191,0.000000000
31,1710255658.547788143,cam0/1710255658.547788219.jpg,65,1710255658.547788143,0.000000000
32,1710255658.597788095,cam0/1710255658.597788119.jpg,67,1710255658.597788095,0.000000000
33,1710255658.647788048,cam0/1710255658.647788119.jpg,68,1710255658.647788048,0.000000000
34,1710255658.697788000,cam0/1710255658.697788119.jpg,70,1710255658.697788000,0.000000000
35,1710255658.747788191,cam0/1710255658.747788119.jpg,71,1710255658.747788191,0.000000000
36,1710255658.797787905,cam0/1710255658.797788019.jpg,73,1710255658.797787905,0.000000000
37,1710255658.847788095,cam0/1710255658.847788019.jpg,74,1710255658.847788095,0.000000000
38,1710255658.897787809,cam0/1710255658.897787919.jpg,75,1710255658.897787809,0.000000000
39,1710255658.947788000,cam0/1710255658.947787919.jpg,76,1710255658.947788000,0.000000000
40,1710255658.997787714,cam0/1710255658.997787819.jpg,77,1710255658.997787714,0.000000000
41,1710255659.047787905,cam0/1710255659.047787819.jpg,78,1710255659.047787905,0.000000000
42,1710255659.097787619,cam0/1710255659.097787719.jpg,80,1710255659.097787619,0.000000000
43,1710255659.147787809,cam0/1710255659.147787719.jpg,81,1710255659.147787809,0.000000000
44,1710255659.197787762,cam0/1710255659.197787719.jpg,82,1710255659.197787762,0.000000000
45,1710255659.247787714,cam0/1710255659.247787619.jpg,83,1710255659.247787714,0.000000000
46,1710255659.297787666,cam0/1710255659.297787619.jpg,85,1710255659.297787666,0.000000000
47,1710255659.347787619,cam0/1710255659.347787519.jpg,86,1710255659.347787619,0.000000000
48,1710255659.397787571,cam0/1710255659.397787519.jpg,87,1710255659.397787571,0.000000000
49,1710255659.447787523,cam0/1710255659.447787419.jpg,88,1710255659.447787523,0.000000000
50,1710255659.497787476,cam0/1710255659.497787419.jpg,89,1710255659.497787476,0.000000000
51,1710255659.547787428,cam0/1710255659.547787319.jpg,90,1710255659.547787428,0.000000000
52,1710255659.597787380,cam0/1710255659.597787319.jpg,92,1710255659.597787380,0.000000000
53,1710255659.647787333,cam0/1710255659.647787219.jpg,93,1710255659.647787333,0.000000000
54,1710255659.697787285,cam0/1710255659.697787319.jpg,95,1710255659.697787285,0.000000000
55,1710255659.747787237,cam0/1710255659.747787219.jpg,96,1710255659.747787237,0.000000000
56,1710255659.797787189,cam0/1710255659.797787219.jpg,98,1710255659.797787189,0.000000000
57,1710255659.847787142,cam0/1710255659.847787119.jpg,99,1710255659.847787142,0.000000000
58,1710255659.897787094,cam0/1710255659.897787119.jpg,100,1710255659.897787094,0.000000000
59,1710255659.947787046,cam0/1710255659.947787019.jpg,101,1710255659.947787046,0.000000000
60,1710255659.997786999,cam0/1710255659.997786919.jpg,103,1710255659.997786999,0.000000000
61,1710255660.047786951,cam0/1710255660.047786919.jpg,104,1710255660.047786951,0.000000000
62,1710255660.097786903,cam0/1710255660.097786819.jpg,106,1710255660.097786903,0.000000000
63,1710255660.147786856,cam0/1710255660.147786819.jpg,107,1710255660.147786856,0.000000000
64,1710255660.197786808,cam0/1710255660.197786819.jpg,109,1710255660.197786808,0.000000000
65,1710255660.247786760,cam0/1710255660.247786819.jpg,110,1710255660.247786760,0.000000000
66,1710255660.297786713,cam0/1710255660.297786719.jpg,112,1710255660.297786713,0.000000000
67,1710255660.347786665,cam0/1710255660.347786719.jpg,113,1710255660.347786665,0.000000000
68,1710255660.397786617,cam0/1710255660.397786619.jpg,114,1710255660.397786617,0.000000000
69,1710255660.447786570,cam0/1710255660.447786619.jpg,115,1710255660.447786570,0.000000000
70,1710255660.497786522,cam0/1710255660.497786519.jpg,117,1710255660.497786522,0.000000000
71,1710255660.547786474,cam0/1710255660.547786519.jpg,118,1710255660.547786474,0.000000000
72,1710255660.597786427,cam0/1710255660.597786419.jpg,120,1710255660.597786427,0.000000000
73,1710255660.647786379,cam0/1710255660.647786319.jpg,121,1710255660.647786379,0.000000000
74,1710255660.697786331,cam0/1710255660.697786419.jpg,123,1710255660.697786331,0.000000000
75,1710255660.747786283,cam0/1710255660.747786319.jpg,124,1710255660.747786283,0.000000000
76,1710255660.797786236,cam0/1710255660.797786319.jpg,125,1710255660.797786236,0.000000000
77,1710255660.847786188,cam0/1710255660.847786219.jpg,126,1710255660.847786188,0.000000000
78,1710255660.897786140,cam0/1710255660.897786219.jpg,128,1710255660.897786140,0.000000000
79,1710255660.947786093,cam0/1710255660.947786119.jpg,129,1710255660.947786093,0.000000000
80,1710255660.997786045,cam0/1710255660.997786119.jpg,131,1710255660.997786045,0.000000000
81,1710255661.047785997,cam0/1710255661.047786019.jpg,132,1710255661.047785997,0.000000000
82,1710255661.097785950,cam0/1710255661.097786019.jpg,134,1710255661.097785950,0.000000000
83,1710255661.147785902,cam0/1710255661.147785919.jpg,135,1710255661.147785902,0.000000000
84,1710255661.197786093,cam0/1710255661.197786019.jpg,137,1710255661.197786093,0.000000000
85,1710255661.247785807,cam0/1710255661.247785919.jpg,138,1710255661.247785807,0.000000000
86,1710255661.297785997,cam0/1710255661.297785919.jpg,140,1710255661.297785997,0.000000000
87,1710255661.347785711,cam0/1710255661.347785819.jpg,141,1710255661.347785711,0.000000000
88,1710255661.397785664,cam0/1710255661.397785719.jpg,143,1710255661.397785664,0.000000000
89,1710255661.447785616,cam0/1710255661.447785719.jpg,144,1710255661.447785616,0.000000000
90,1710255661.497785568,cam0/1710255661.497785619.jpg,146,1710255661.497785568,0.000000000
91,1710255661.547785521,cam0/1710255661.547785619.jpg,147,1710255661.547785521,0.000000000
92,1710255661.597785473,cam0/1710255661.597785519.jpg,149,1710255661.597785473,0.000000000
93,1710255661.647785425,cam0/1710255661.647785519.jpg,150,1710255661.647785425,0.000000000
94,1710255661.697785616,cam0/1710255661.697785519.jpg,152,1710255661.697785616,0.000000000
95,1710255661.747785568,cam0/1710255661.747785519.jpg,153,1710255661.747785568,0.000000000
96,1710255661.797785521,cam0/1710255661.797785419.jpg,155,1710255661.797785521,0.000000000
97,1710255661.847785473,cam0/1710255661.847785419.jpg,156,1710255661.847785473,0.000000000
98,1710255661.897772551,cam0/1710255661.897772608.jpg,158,1710255661.897772551,0.000000000
99,1710255661.947772503,cam0/1710255661.947772408.jpg,159,1710255661.947772503,0.000000000
100,1710255661.997772217,cam0/1710255661.997772308.jpg,161,1710255661.997772217,0.000000000
101,1710255662.047772169,cam0/1710255662.047772108.jpg,162,1710255662.047772169,0.000000000
102,1710255662.097771883,cam0/1710255662.097771908.jpg,163,1710255662.097771883,0.000000000
103,1710255662.147771597,cam0/1710255662.147771708.jpg,164,1710255662.147771597,0.000000000
104,1710255662.197771549,cam0/1710255662.197771608.jpg,166,1710255662.197771549,0.000000000
105,1710255662.247771502,cam0/1710255662.247771508.jpg,167,1710255662.247771502,0.000000000
106,1710255662.297771215,cam0/1710255662.297771308.jpg,169,1710255662.297771215,0.000000000
107,1710255662.347771168,cam0/1710255662.347771108.jpg,170,1710255662.347771168,0.000000000
108,1710255662.397770882,cam0/1710255662.397770908.jpg,172,1710255662.397770882,0.000000000
109,1710255662.447770596,cam0/1710255662.447770708.jpg,173,1710255662.447770596,0.000000000
110,1710255662.497770548,cam0/1710255662.497770608.jpg,175,1710255662.497770548,0.000000000
111,1710255662.547770500,cam0/1710255662.547770408.jpg,176,1710255662.547770500,0.000000000
112,1710255662.597770214,cam0/1710255662.597770208.jpg,178,1710255662.597770214,0.000000000
113,1710255662.647769928,cam0/1710255662.647770008.jpg,179,1710255662.647769928,0.000000000
114,1710255662.697770119,cam0/1710255662.697770008.jpg,181,1710255662.697770119,0.000000000
115,1710255662.747769833,cam0/1710255662.747769808.jpg,182,1710255662.747769833,0.000000000
116,1710255662.797769547,cam0/1710255662.797769608.jpg,184,1710255662.797769547,0.000000000
117,1710255662.847769499,cam0/1710255662.847769408.jpg,185,1710255662.847769499,0.000000000
118,1710255662.897769213,cam0/1710255662.897769208.jpg,187,1710255662.897769213,0.000000000
119,1710255662.947769165,cam0/1710255662.947769108.jpg,188,1710255662.947769165,0.000000000
120,1710255662.997768879,cam0/1710255662.997768908.jpg,190,1710255662.997768879,0.000000000
